,lost_concepts
0,((((hyp:tok:rope OR pre:tok:uniformed) AND hyp:tok:are) OR hyp:tok:sandwiches) OR hyp:tok:finishing)
1,(((hyp:tok:naked AND pre:tok:people) OR hyp:tok:hooded) OR hyp:tok:rowboat)
2,((hyp:tok:is OR hyp:tok:people) OR hyp:tok:woman)
3,(hyp:tok:least OR pre:tok:put)
4,(((hyp:tok:tall AND pre:tok:two) OR pre:tok:i) OR pre:tok:walked)
5,(hyp:tok:jet OR pre:tok:laughing)
6,(hyp:tok:home AND pre:tok:seat)
7,((((pre:tok:cherry OR pre:tok:picking) OR pre:tok:angry) OR hyp:tok:bottom) OR hyp:tok:cameras)
8,(((hyp:tok:are AND pre:tok:tent) OR hyp:tok:number) OR hyp:tok:scarves)
9,((hyp:tok:swimming OR hyp:tok:tv) OR hyp:tok:blanket)
10,(((((NOT pre:tok:men) AND oth:overlap:overlap75) OR hyp:tok:nobody) OR pre:tok:glass) OR pre:tok:rest)
11,((hyp:tok:jet OR hyp:tok:tea) OR pre:tok:fun)
12,(hyp:tok:jumping AND pre:tok:into)
13,(hyp:tok:man AND pre:tok:transportation)
14,((hyp:tok:identical OR hyp:tok:mouths) AND hyp:tok:two)
15,(((hyp:tok:dock OR hyp:tok:swimming) AND hyp:tok:people) OR hyp:tok:though)
16,((hyp:tok:friends OR hyp:tok:lunch) OR pre:tok:reads)
17,(hyp:tok:pushing OR pre:tok:raises)
18,((((hyp:tok:boys AND pre:tok:girls) OR pre:tok:learning) OR hyp:tok:seven) OR hyp:tok:camouflage)
19,(((((NOT oth:overlap:overlap25) AND hyp:tok:sidewalk) OR hyp:tok:within) OR hyp:tok:wrapped) OR hyp:tok:bathrobe)
20,(((NOT pre:tok:wearing) AND (hyp:tok:human OR hyp:tok:wearing)) OR pre:tok:swimming)
21,((((hyp:tok:getting AND pre:tok:gathering) OR pre:tok:swims) AND hyp:tok:water) OR pre:tok:golfer)
22,(hyp:tok:outside OR pre:tok:photographer)
23,((hyp:tok:empty OR hyp:tok:ocean) OR hyp:tok:nothing)
24,((hyp:tok:sandwiches OR pre:tok:easter) OR pre:tok:photographs)
25,(hyp:tok:are AND pre:tok:course)
26,(hyp:tok:displaying OR pre:tok:army)
27,((hyp:tok:beer AND pre:tok:man) OR hyp:tok:balance)
28,((pre:tok:body AND pre:tok:brown) AND hyp:tok:in)
29,(hyp:tok:night AND pre:tok:night)
30,((hyp:tok:not OR oth:overlap:overlap75) OR hyp:tok:nobody)
31,((hyp:tok:- AND pre:tok:while) OR hyp:tok:!)
32,(hyp:tok:wearing AND pre:tok:to)
33,((pre:tok:hangs OR pre:tok:leans) OR pre:tok:jean)
34,(hyp:tok:eating OR pre:tok:microphone)
35,((hyp:tok:hardware AND pre:tok:on) OR pre:tok:picker)
36,(hyp:tok:small AND pre:tok:swimming)
37,(hyp:tok:chess OR hyp:tok:running)
38,(((hyp:tok:eating OR hyp:tok:sleeps) OR hyp:tok:sleep) OR hyp:tok:laying)
39,((((hyp:tok:pool OR hyp:tok:swimming) OR hyp:tok:surfing) OR pre:tok:lake) OR hyp:tok:laundromat)
40,(hyp:tok:spring AND pre:tok:on)
41,((NOT hyp:tok:with) AND (hyp:tok:favorite OR hyp:tok:tall))
42,((((hyp:tok:walking AND oth:overlap:overlap75) OR hyp:tok:look) OR hyp:tok:pick) AND (NOT pre:tok:down))
43,(((NOT oth:overlap:overlap50) AND (pre:tok:pose OR pre:tok:walking)) OR pre:tok:talks)
44,(((hyp:tok:guitars OR hyp:tok:spinning) OR hyp:tok:bottles) AND pre:tok:on)
45,(NOT pre:tok:yellow)
46,(hyp:tok:cardboard AND pre:tok:in)
