,Cluster1,Cluster2,Cluster3,Cluster4
0,(hyp:tok:guys OR pre:tok:instruments),(hyp:tok:pool OR hyp:tok:swimming),(hyp:tok:beach AND pre:tok:walking),((((hyp:tok:black AND pre:tok:white) AND hyp:tok:is) OR hyp:tok:bandanna) OR hyp:tok:addressing)
1,((((hyp:tok:throw AND pre:tok:man) OR hyp:tok:desk) AND hyp:tok:at) AND (NOT pre:tok:in)),((hyp:tok:naked OR hyp:tok:swimming) OR pre:tok:winter),((((hyp:tok:friends OR hyp:tok:tall) OR hyp:tok:trying) OR hyp:tok:marathon) OR hyp:tok:professional),((((hyp:tok:hotel OR pre:tok:airport) AND hyp:tok:sits) OR hyp:tok:cafeteria) AND (NOT pre:tok:woman))
2,(((hyp:tok:computer OR hyp:tok:image) OR hyp:tok:wrestlers) OR hyp:tok:science),(((NOT pre:tok:to) AND (hyp:tok:standing AND pre:tok:sitting)) AND (NOT pre:tok:person)),((((hyp:tok:pitcher OR pre:tok:cup) OR hyp:tok:wineglass) OR hyp:tok:mural) OR pre:tok:wash),((((NOT oth:overlap:overlap50) AND hyp:tok:inside) AND (NOT hyp:tok:people)) OR pre:tok:television)
3,((hyp:tok:outside OR oth:overlap:overlap75) OR pre:tok:stand),((hyp:tok:costumed OR hyp:tok:dish) OR pre:tok:television),(((hyp:tok:swimming OR hyp:tok:woods) OR hyp:tok:runs) AND (NOT pre:tok:in)),(hyp:tok:hoops OR pre:tok:yarn)
4,(hyp:tok:getting AND pre:tok:gathering),(NOT hyp:tok:two),(hyp:tok:chinese OR pre:tok:resting),(((NOT pre:tok:and) AND (hyp:tok:in AND hyp:tok:swim)) AND (NOT hyp:tok:is))
5,(((hyp:tok:in AND pre:tok:rock) OR hyp:tok:dishes) AND hyp:tok:man),((hyp:tok:heading OR hyp:tok:way) AND hyp:tok:are),(((NOT pre:tok:his) AND (hyp:tok:sleeping OR pre:tok:land)) OR hyp:tok:nap),((hyp:tok:to AND hyp:tok:walking) OR hyp:tok:coach)
6,(((hyp:tok:step OR pre:tok:checkered) OR hyp:tok:bread) OR pre:tok:steel),(hyp:tok:for OR hyp:tok:her),((hyp:tok:outside OR oth:overlap:overlap50) OR hyp:tok:there),((hyp:tok:race AND pre:tok:track) OR pre:tok:burning)
7,(NOT hyp:tok:two),((((hyp:tok:women AND pre:tok:men) OR hyp:tok:vegetable) OR hyp:tok:rollerblading) OR hyp:tok:sandwiches),(hyp:tok:home AND pre:tok:laundromat),((hyp:tok:championship OR hyp:tok:desert) OR hyp:tok:swing)
8,((NOT pre:tok:his) AND oth:overlap:overlap75),((NOT pre:tok:in) AND hyp:tok:blouse),(hyp:tok:bamboo OR hyp:tok:rowing),(hyp:tok:tall OR pre:tok:few)
9,(((pre:tok:man OR pre:tok:with) OR hyp:tok:child) OR pre:tok:are),((((hyp:tok:outside OR oth:overlap:overlap50) OR hyp:tok:there) OR hyp:tok:outdoors) OR pre:tok:ball),(((hyp:tok:basketball OR hyp:tok:teenagers) OR hyp:tok:pet) AND (NOT pre:tok:and)),((((hyp:tok:hillside OR hyp:tok:squatting) OR hyp:tok:acoustic) OR hyp:tok:obstacle) OR hyp:tok:surf)
