sparse_topic,dense_topic,score
"{'family', 'kid', 'woman', 'gentleman', 'someone', 'women', 'girl', 'young', 'he', 'alone', 'mother', 'not', 'has', 'man', 'lot', 'just', 'lady', 'child', 'kids', 'couple', 'ex', 'friend', 'baby', 'older', 'female', 'she', 'friends', 'boy', 'sisters', 'it', 'boys', 'elderly', 'girls', 'male', 'something', 'them', 'little', 'they', 'nobody', 'children', 'old', 'his', 'her', 'men', 'married', 'guy', 'way', 'have'}","{'family', 'woman', 'gentleman', 'someone', 'women', 'girl', 'young', 'he', 'not', 'man', 'just', 'lady', 'child', 'kids', 'ex', 'friend', 'older', 'female', 'she', 'friends', 'boy', 'it', 'wife', 'boys', 'elderly', 'girls', 'male', 'something', 'little', 'son', 'one', 'nobody', 'children', 'old', 'his', 'her', 'men', 'married', 'him', 'guy', 'else', 'another'}",0.6666666666666666
"{'phone', 'camera', 'cellphone', 'microphone'}","{'phone', 'camera', 'cellphone', 'microphone'}",1.0
"{'moving', 'running', 'putting', 'leaning'}","{'running', 'moving'}",0.5
"{'baseball', 'soccer', 'basketball', 'frisbee', 'volleyball', 'football'}","{'baseball', 'soccer', 'tennis', 'basketball', 'hockey', 'volleyball', 'football'}",0.625
"{'green', 'red', 'orange', 'pink', 'tan', 'yellow', 'white', 'dark', 'blue', 'purple', 'brown', 'black'}","{'gray', 'red', 'orange', 'brown', 'pink', 'yellow', 'white', 'blue', 'purple', 'green', 'black'}",0.7692307692307693
"{'inside', 'in', 'over', 'least', 'from', 'on', 'outside', 'front', 'through'}","{'inside', 'across', 'around', 'in', 'over', 'least', 'from', 'on', 'outside', 'front', 'through'}",0.8181818181818182
"{'street', 'city'}","{'street', 'city'}",1.0
"{'their', 'are', 'each', 'some', 'together', 'one', 'other', 'multiple'}","{'their', 'are', 'some', 'all', 'other'}",0.4444444444444444
"{'climbing', 'riding', 'walking'}","{'climbing', 'riding', 'walking'}",1.0
"{'asian', 'african', 'indian'}",No Match,0.0
"{'pants', 'jeans', 'shorts', 'shirt', 'shirts', 'jacket'}","{'shorts', 'jeans'}",0.3333333333333333
"{'cold', 'wet', 'snow', 'rain', 'snowy'}","{'ice', 'snow', 'rain', 'snowy'}",0.5
"{'car', 'ride', 'rides', 'bike', 'bikes', 'bicycle', 'motorcycle', 'biker'}","{'car', 'bike', 'bikes', 'bicycle', 'vehicle', 'motorcycle', 'biker'}",0.6666666666666666
"{'two', 'three', 'six'}","{'two', 'three', 'four'}",0.5
"{'trying', 'attempts', 'going'}",No Match,0.0
"{'toys', 'toy'}",No Match,0.0
"{'indoors', 'outdoor', 'pool', 'indoor', 'enjoying', 'outdoors'}","{'pool', 'enjoying', 'outdoors', 'indoors'}",0.6666666666666666
"{'sand', 'lake', 'mountain', 'grass', 'park', 'grassy', 'water', 'air', 'rocky', 'river', 'beach', 'forest', 'ocean', 'tree'}","{'lake', 'mountain', 'park', 'air', 'water', 'mountains', 'river', 'beach', 'forest', 'ocean'}",0.6
"{'buys', 'selling'}",No Match,0.0
"{'store', 'shopping'}",No Match,0.0
"{'competition', 'competing'}","{'competition', 'competing'}",1.0
"{'helmet', 'sunglasses', 'glasses'}","{'helmets', 'helmet', 'sunglasses'}",0.5
"{'dresses', 'dress'}","{'outfit', 'suit', 'costume', 'dress'}",0.2
"{'sitting', 'holding', 'stand', 'sits'}","{'stands', 'sitting', 'holding', 'standing', 'stand', 'sits'}",0.6666666666666666
"{'laying', 'getting'}",No Match,0.0
"{'concert', 'performing'}","{'concert', 'performing', 'performs', 'performers', 'stage'}",0.4
"{'leaps', 'jumping', 'chasing', 'jumps'}","{'chasing', 'jumping'}",0.5
"{'bed', 'desk', 'couch'}","{'bed', 'desk', 'couch'}",1.0
"{'after', 'while', 'before'}","{'first', 'after', 'while', 'next', 'before'}",0.6
"{'up', 'toward', 'down', 'into', 'out', 'back', 'off'}","{'into', 'toward', 'down'}",0.42857142857142855
"{'dinner', 'lunch'}","{'meal', 'dinner', 'lunch'}",0.6666666666666666
"{'doing', 'about', 'reading', 'looking', 'waiting', 'talking'}","{'doing', 'about', 'reading', 'looking', 'waiting', 'talking'}",1.0
"{'horses', 'horse'}",No Match,0.0
"{'sleeping', 'nap', 'asleep', 'sleeps'}","{'asleep', 'nap', 'sleeps', 'sleeping'}",1.0
"{',', 'with'}","{',', 'with'}",1.0
"{'team', 'player', 'play', 'playing', 'game', 'players'}","{'championship', 'team', 'player', 'play', 'playing', 'game'}",0.7142857142857143
"{'walk', 'walks'}","{'walk', 'walks'}",1.0
"{'dog', 'dogs', 'cat'}","{'dog', 'dogs', 'cat'}",1.0
"{'guitar', 'drums'}",No Match,0.0
"{'jjr', 'nnp', 'vb', 'jj', 'vbd', 'vbg', 'POS', 'vbp', 'nn', 'vbz', 'nns', 'vbn'}","{'jjr', 'nnp', 'vb', 'jj', 'vbg', 'POS', 'vbp', 'nn', 'vbz', 'nns', 'vbn'}",0.9166666666666666
"{'fishing', 'swimming'}","{'wading', 'fishing', 'swimming'}",0.6666666666666666
"{'drawing', 'painting'}",No Match,0.0
"{'home', 'house'}","{'home', 'house', 'apartment'}",0.6666666666666666
"{'road', 'sidewalk'}","{'road', 'sidewalk'}",1.0
"{'blond', 'brunette'}","{'blond', 'brunette'}",1.0
"{'building', 'vacation', 'construction'}","{'construction', 'vacation'}",0.6666666666666666
"{'paddle', 'canoe', 'boat'}","{'canoe', 'boat'}",0.6666666666666666
"{'racing', 'race'}","{'racing', 'race'}",1.0
"{'skateboarder', 'snowboarder'}","{'skateboard', 'skateboarder', 'snowboarder', 'skier'}",0.5
"{'band', 'singing', 'dancing', 'dance', 'music'}","{'dancing', 'dance', 'singing'}",0.6
"{'eating', 'drinking'}","{'eating', 'smoking'}",0.3333333333333333
"{'near', 'at'}","{'near', 'at'}",1.0
"{'animal', 'human'}",No Match,0.0
"{'small', 'large'}",No Match,0.0
"{'floor', 'wall'}","{'floor', 'wall'}",1.0
"{'cafe', 'restaurant'}","{'bar', 'restaurant', 'chef'}",0.25
"{'mud', 'dirt'}",No Match,0.0
"{'classroom', 'class'}","{'classroom', 'school'}",0.3333333333333333
"{'making', 'taking'}",No Match,0.0
