EPOCH,ACCURACY,LOSS
0,0.5902255518459203,0.9001210910642663
1,0.7511684423029799,0.6610329103794458
2,0.8848811019680602,0.41712137822381995
3,0.9477748227080687,0.22113851150333141
4,0.9846575585256575,0.09506826528783882
5,0.992481176263553,0.05754068000418121
6,0.9949197160158427,0.030719360065837805
7,0.996342192188411,0.029776543360850755
9,0.9973582497119806,0.019947314003281473
10,0.9974598549798455,0.025610352871130285
11,0.9977646732059007,0.027302682139240607
13,0.9981710973054359,0.07857837922255279
14,0.9982727007564551,0.055304600333861566
15,0.99918715301216,0.01152831474805012
0,0.5727494313231912,0.8963911741202838
1,0.7492379414262483,0.6451338521350426
2,0.8844746837429922,0.411538425602096
3,0.9536679312359678,0.2167562844942944
4,0.9819142138708464,0.09665818051642287
5,0.9943100795637323,0.04247573991032653
6,0.9950213182556317,0.03731078863464897
7,0.9956309534965117,0.03149383835471051
8,0.9976630673324207,0.018431882800852693
9,0.9981710960942055,0.017932951341526424
10,0.9983743072355503,0.015892186074929676
11,0.9989839418708152,0.008385438026763458
