cluster,neuron,feature,category,category_fine,iou,feature_length,w_entail,w_neutral,w_contra
4,0,(((((NOT oth:overlap:overlap25) AND pre:tok:are) OR hyp:tok:eating) OR hyp:tok:riding) OR hyp:tok:alone),(((((NOT oth) AND pre) OR hyp) OR hyp) OR hyp),(((((NOT oth:overlap) AND pre:tok) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.07640878701050621,6,-0.053984735,-0.045184363,0.064181104
4,1,pre:tok:in,pre,pre:tok,0.0,1,0.0047763498,0.0021374722,0.014035168
4,2,pre:tok:in,pre,pre:tok,0.0,1,-0.028240746,-0.018325444,-0.01801046
4,3,pre:tok:in,pre,pre:tok,0.0,1,0.0005738688,-0.0071000154,0.013591588
4,4,pre:tok:in,pre,pre:tok,0.0,1,-0.03327432,0.009516349,0.005223358
4,5,pre:tok:in,pre,pre:tok,0.0,1,-0.01811511,0.01101393,0.029370204
4,6,((((hyp:tok:tall OR pre:tok:few) OR pre:tok:apartment) AND (NOT oth:overlap:overlap25)) OR pre:tok:urban),((((hyp OR pre) OR pre) AND (NOT oth)) OR pre),((((hyp:tok OR pre:tok) OR pre:tok) AND (NOT oth:overlap)) OR pre:tok),0.1103448275862069,6,-0.1332362,-0.07305824,0.13134992
4,7,pre:tok:in,pre,pre:tok,0.0,1,-0.017232083,-0.0118125025,0.0006597078
4,8,((((hyp:tok:for OR hyp:tok:tall) OR hyp:tok:trying) AND (NOT pre:tok:for)) OR hyp:tok:sister),((((hyp OR hyp) OR hyp) AND (NOT pre)) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) AND (NOT pre:tok)) OR hyp:tok),0.20393120393120392,6,-0.0823339,-0.0784912,0.14294584
4,9,pre:tok:in,pre,pre:tok,0.0,1,-0.015833614,0.0036869862,-0.023049906
4,10,pre:tok:in,pre,pre:tok,0.0,1,0.026105339,0.0083097145,-0.005927887
4,11,pre:tok:in,pre,pre:tok,0.0,1,-0.039270308,0.0039053678,-0.08502867
4,12,pre:tok:in,pre,pre:tok,0.0,1,-0.057075374,-0.06418711,0.01777516
4,13,pre:tok:in,pre,pre:tok,0.0,1,0.00069109304,-0.022033479,-0.039120488
4,14,pre:tok:in,pre,pre:tok,0.0,1,0.015123305,0.0017837533,-0.029876685
4,15,((((hyp:tok:chair AND pre:tok:pink) OR hyp:tok:seated) AND (NOT hyp:tok:people)) AND (NOT pre:tok:man)),((((hyp AND pre) OR hyp) AND (NOT hyp)) AND (NOT pre)),((((hyp:tok AND pre:tok) OR hyp:tok) AND (NOT hyp:tok)) AND (NOT pre:tok)),0.20833333333333334,7,-0.0592358,-0.09577088,0.09171974
4,16,((((hyp:tok:outside OR hyp:tok:to) OR hyp:tok:for) OR hyp:tok:outdoors) OR hyp:tok:kid),((((hyp OR hyp) OR hyp) OR hyp) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.15658362989323843,5,0.00053901883,0.047091387,-0.066699944
4,17,pre:tok:in,pre,pre:tok,0.0,1,0.0723969,-0.04348539,0.035158463
4,18,pre:tok:in,pre,pre:tok,0.0,1,-0.019470567,0.000523566,0.009931134
4,19,((((hyp:tok:male AND pre:tok:their) OR hyp:tok:paddles) OR hyp:tok:atv) AND (NOT pre:tok:on)),((((hyp AND pre) OR hyp) OR hyp) AND (NOT pre)),((((hyp:tok AND pre:tok) OR hyp:tok) OR hyp:tok) AND (NOT pre:tok)),0.2,6,-0.19099987,0.07625786,0.08778053
4,20,pre:tok:in,pre,pre:tok,0.0,1,-0.047685917,0.014887502,-0.0166224
4,21,pre:tok:in,pre,pre:tok,0.0,1,-0.24068952,-0.06745742,0.04391811
