sparse_topic,dense_topic,score
"{'picture', 'photo'}",No Match,0.0
"{'boys', 'guy', 'old', 'women', 'her', 'children', 'little', 'someone', 'male', 'just', 'he', 'girl', 'ex', 'family', 'kids', 'friends', 'female', 'child', 'lady', 'man', 'older', 'girls', 'woman', 'him', 'they', 'men', 'she', 'friend', 'young', 'boy', 'mother', 'gentleman', 'because', 'something', 'alone', 'nobody', 'married', 'his', 'not'}","{'boys', 'guy', 'old', 'women', 'son', 'her', 'children', 'little', 'someone', 'male', 'just', 'he', 'girl', 'ex', 'family', 'kids', 'friends', 'female', 'child', 'lady', 'another', 'man', 'it', 'older', 'girls', 'woman', 'elderly', 'him', 'men', 'she', 'friend', 'young', 'boy', 'gentleman', 'else', 'something', 'one', 'nobody', 'wife', 'married', 'his', 'not'}",0.7608695652173914
"{'microphone', 'cellphone', 'phone', 'camera'}","{'microphone', 'cellphone', 'phone', 'camera'}",1.0
"{'before', 'while', 'after'}","{'after', 'while', 'before', 'first', 'next'}",0.6
"{'soccer', 'football', 'basketball', 'baseball', 'tennis'}","{'hockey', 'volleyball', 'soccer', 'football', 'basketball', 'baseball', 'tennis'}",0.7142857142857143
"{'moving', 'putting', 'running'}","{'moving', 'running'}",0.6666666666666666
"{'orange', 'gray', 'black', 'blue', 'purple', 'tan', 'dark', 'yellow', 'brown', 'pink', 'white', 'green', 'red'}","{'orange', 'gray', 'black', 'blue', 'purple', 'yellow', 'brown', 'pink', 'white', 'green', 'red'}",0.8461538461538461
"{'fishing', 'swimming'}","{'fishing', 'swimming', 'wading'}",0.6666666666666666
"{'forest', 'river', 'lake', 'grassy', 'park', 'water', 'air', 'desert', 'beach', 'trees', 'fountain', 'mountain', 'grass', 'woods', 'tree', 'ocean'}","{'forest', 'river', 'lake', 'park', 'water', 'air', 'beach', 'mountain', 'mountains', 'ocean'}",0.5294117647058824
"{'tall', 'feet'}",No Match,0.0
"{'face', 'head'}",No Match,0.0
"{'skateboarder', 'snowboarder', 'skateboard'}","{'skateboarder', 'snowboarder', 'skier', 'skateboard'}",0.75
"{'city', 'street'}","{'city', 'street'}",1.0
"{'dogs', 'cat', 'dog'}","{'dogs', 'cat', 'dog'}",1.0
"{'each', 'another', 'other', 'one'}","{'all', 'some', 'are', 'other', 'their'}",0.125
"{'walking', 'riding', 'climbing'}","{'walking', 'riding', 'climbing'}",1.0
"{'inside', 'in', 'front', 'outside', 'through', 'over', 'from', 'on'}","{'inside', 'around', 'in', 'across', 'front', 'outside', 'through', 'over', 'from', 'on', 'least'}",0.7272727272727273
"{'rain', 'ice', 'snowy', 'snow'}","{'rain', 'ice', 'snowy', 'snow'}",1.0
"{'house', 'home'}","{'house', 'home', 'apartment'}",0.6666666666666666
"{'bicycle', 'rides', 'bike', 'bikes', 'biker', 'motorcycle', 'car'}","{'bicycle', 'bike', 'bikes', 'vehicle', 'biker', 'motorcycle', 'car'}",0.75
"{'three', 'two', 'five', 'four'}","{'two', 'four', 'three'}",0.75
"{'bus', 'train'}","{'bus', 'train'}",1.0
"{'moon', 'sun'}","{'moon', 'sun'}",1.0
"{'sleeps', 'nap', 'asleep', 'sleeping'}","{'sleeps', 'nap', 'asleep', 'sleeping'}",1.0
"{'market', 'vendor', 'customer'}",No Match,0.0
"{'selling', 'buys'}",No Match,0.0
"{'shopping', 'store'}",No Match,0.0
"{'band', 'dance', 'dancing', 'singing', 'music'}","{'dance', 'dancing', 'singing'}",0.6
"{'competing', 'competition'}","{'competing', 'competition'}",1.0
"{'boat', 'canoe'}","{'boat', 'canoe'}",1.0
"{'nn', 'vbp', 'vbz', 'vbd', 'vb', 'jjr', 'vbg', 'vbn', 'nns', 'POS', 'nnp', 'nnps', 'jj'}","{'nn', 'vbp', 'vbz', 'vbg', 'vb', 'jjr', 'vbn', 'nns', 'POS', 'nnp', 'jj'}",0.8461538461538461
"{'robe', 'hat', 'dressed', 'dresses', 'dress'}","{'suit', 'costume', 'outfit', 'dress'}",0.125
"{'olympics', 'team', 'concert', 'play', 'player', 'playing', 'players', 'plays', 'game', 'performing'}","{'team', 'championship', 'play', 'player', 'playing', 'game'}",0.45454545454545453
"{'stand', 'holding', 'sits', 'sitting'}","{'sitting', 'stand', 'stands', 'standing', 'holding', 'sits'}",0.6666666666666666
"{'eating', 'drinking'}","{'smoking', 'eating'}",0.3333333333333333
"{'near', 'at'}","{'near', 'at'}",1.0
"{'indoors', 'outdoors', 'pool', 'picnic', 'enjoying', 'outdoor'}","{'pool', 'enjoying', 'indoors', 'outdoors'}",0.6666666666666666
"{'race', 'racing'}","{'race', 'racing'}",1.0
"{'watch', 'watches'}",No Match,0.0
"{'couch', 'bed', 'desk'}","{'couch', 'bed', 'desk'}",1.0
"{'talking', 'doing', 'waiting', 'about', 'looking'}","{'talking', 'doing', 'reading', 'waiting', 'about', 'looking'}",0.8333333333333334
"{'large', 'small'}",No Match,0.0
"{'sidewalk', 'bridge', 'road'}","{'sidewalk', 'road'}",0.6666666666666666
"{'down', 'into'}","{'down', 'toward', 'into'}",0.6666666666666666
"{'dinner', 'coffee', 'lunch'}","{'meal', 'dinner', 'lunch'}",0.5
"{'horses', 'horse'}",No Match,0.0
"{'with', 'present', ','}","{'with', ','}",0.6666666666666666
"{'baby', 'toddler'}","{'baby', 'toddler'}",1.0
"{'cafe', 'restaurant'}","{'chef', 'restaurant', 'bar'}",0.25
"{'mud', 'dirt'}",No Match,0.0
"{'walk', 'walks'}","{'walk', 'walks'}",1.0
"{'drums', 'guitar'}",No Match,0.0
"{'shirt', 'jacket'}",No Match,0.0
"{'chasing', 'jumping'}","{'chasing', 'jumping'}",1.0
"{'construction', 'building', 'vacation', 'structure'}","{'vacation', 'construction'}",0.5
