,Cluster1,Cluster2,Cluster3,Cluster4
0,pre:tok:native,pre:tok:mall,pre:tok:moon,pre:tok:play
1,hyp:tok:tattoo,hyp:tok:microscope,hyp:tok:bikers,pre:tok:moon
2,hyp:tok:ft,pre:tok:lane,pre:tok:bicyclists,hyp:tok:curtain
3,hyp:tok:muddy,pre:tok:golden,hyp:tok:happy,pre:tok:only
4,pre:tok:lane,pre:tok:surf,pre:tok:blanket,hyp:tok:story
5,hyp:tok:appears,hyp:tok:groom,pre:tok:older,pre:tok:older
6,pre:tok:ramp,pre:tok:tea,pre:tok:rooftop,pre:tok:cooks
7,pre:tok:low,hyp:tok:grassy,pre:tok:hit,pre:tok:conversation
8,pre:tok:owner,pre:tok:structure,pre:tok:cooks,hyp:tok:jumping
9,hyp:tok:groom,hyp:tok:pets,pre:tok:fetch,pre:tok:parade
10,hyp:tok:soap,hyp:tok:touching,hyp:tok:surrounded,pre:tok:glasses
11,hyp:tok:racing,pre:tok:flipping,hyp:tok:obstacle,pre:tok:daughters
12,hyp:tok:protecting,hyp:tok:tag,pre:tok:napping,hyp:tok:other
13,pre:tok:motor,pre:tok:married,hyp:tok:chases,pre:tok:-
14,pre:tok:cute,pre:tok:city,hyp:tok:swimsuit,hyp:tok:walkway
15,pre:tok:activity,pre:tok:motorcyclists,hyp:tok:bride,pre:tok:vehicles
16,hyp:tok:cross,hyp:tok:lamp,hyp:tok:from,pre:tok:tips
17,hyp:tok:image,hyp:tok:dingy,pre:tok:casual,hyp:tok:her
18,hyp:tok:lamp,hyp:tok:milk,pre:tok:bench,hyp:tok:bright
19,hyp:tok:customer,hyp:tok:bottles,pre:tok:flowers,hyp:tok:yarn
20,hyp:tok:pitcher,hyp:tok:shooting,hyp:tok:ring,hyp:tok:acoustic
21,pre:tok:karate,hyp:tok:heels,hyp:tok:edge,hyp:tok:paddles
22,pre:tok:driving,pre:tok:listens,hyp:tok:girl,pre:tok:golfer
23,pre:tok:snow,hyp:tok:anything,pre:tok:!,hyp:tok:swing
24,hyp:tok:throws,hyp:tok:talk,pre:tok:vehicles,pre:tok:pulled
25,hyp:tok:bottles,hyp:tok:protesting,pre:tok:funny,hyp:tok:slam
26,hyp:tok:pretending,hyp:tok:left,hyp:tok:hug,pre:tok:birthday
27,hyp:tok:passed,hyp:tok:guitar,hyp:tok:train,hyp:tok:sits
28,pre:tok:gathering,pre:tok:winter,hyp:tok:yarn,hyp:tok:stream
29,pre:tok:gesturing,pre:tok:flags,hyp:tok:acoustic,hyp:tok:deer
30,hyp:tok:underneath,hyp:tok:outer,pre:tok:heels,pre:tok:tea
31,hyp:tok:bowls,hyp:tok:costume,pre:tok:set,pre:tok:background
32,pre:tok:painted,pre:tok:marathon,pre:tok:surf,hyp:tok:fixing
33,hyp:tok:bone,hyp:tok:barbecue,hyp:tok:groom,pre:tok:skyline
34,pre:tok:tank,hyp:tok:lead,pre:tok:golfer,hyp:tok:has
35,pre:tok:suit,hyp:tok:5,hyp:tok:rowing,pre:tok:dark
36,hyp:tok:derby,hyp:tok:trail,pre:tok:peace,pre:tok:laboratory
37,hyp:tok:trip,hyp:tok:paved,hyp:tok:young,hyp:tok:different
