,Cluster1,Cluster2,Cluster3,Cluster4
0,pre:tok:younger,pre:tok:ballet,hyp:tok:present,pre:tok:moon
1,hyp:tok:dancing,hyp:tok:dancing,hyp:tok:6,hyp:tok:curtain
2,pre:tok:different,hyp:tok:backyard,hyp:tok:hate,hyp:tok:moving
3,pre:tok:cook,hyp:tok:microscope,pre:tok:sandwich,pre:tok:mall
4,pre:tok:leaf,hyp:tok:chases,hyp:tok:magazine,pre:tok:event
5,hyp:tok:while,pre:tok:crafts,hyp:tok:landing,hyp:tok:free
6,hyp:tok:year,pre:tok:from,hyp:tok:!,pre:tok:nutcracker
7,pre:tok:together,hyp:tok:runs,hyp:tok:ocean,hyp:tok:ladies
8,hyp:tok:edge,pre:tok:puddle,hyp:tok:moving,hyp:tok:humans
9,pre:tok:from,pre:tok:traveling,hyp:tok:short,hyp:tok:balding
10,pre:tok:beach,pre:tok:park,hyp:tok:course,pre:tok:cooks
11,pre:tok:airport,pre:tok:poster,hyp:tok:clock,pre:tok:yarn
12,pre:tok:lemons,hyp:tok:pets,hyp:tok:finishing,pre:tok:conversation
13,hyp:tok:crime,pre:tok:pants,hyp:tok:bikes,pre:tok:cup
14,hyp:tok:tv,pre:tok:tire,hyp:tok:humans,pre:tok:shirt
15,hyp:tok:tourists,hyp:tok:tag,pre:tok:cooks,hyp:tok:last
16,hyp:tok:has,pre:tok:sister,pre:tok:large,pre:tok:daughters
17,hyp:tok:stripe,pre:tok:flowered,hyp:tok:exercising,hyp:tok:marathon
18,hyp:tok:produce,hyp:tok:piano,hyp:tok:phone,pre:tok:-
19,pre:tok:lake,pre:tok:outside,hyp:tok:water,hyp:tok:boy
20,pre:tok:body,hyp:tok:attempt,hyp:tok:from,hyp:tok:groups
21,pre:tok:easter,pre:tok:passed,pre:tok:bench,hyp:tok:her
22,pre:tok:their,pre:tok:vacation,hyp:tok:rollerblading,hyp:tok:shirt
23,hyp:tok:lying,pre:tok:as,hyp:tok:lighting,hyp:tok:soccer
24,pre:tok:sister,hyp:tok:anything,hyp:tok:it,pre:tok:shoot
25,hyp:tok:newspapers,hyp:tok:singing,pre:tok:groom,hyp:tok:on
26,hyp:tok:cross,hyp:tok:he,hyp:tok:plays,hyp:tok:uniformed
27,hyp:tok:giant,hyp:tok:guitars,hyp:tok:hug,hyp:tok:vacation
28,hyp:tok:child,hyp:tok:unicycle,hyp:tok:vehicle,hyp:tok:sad
29,hyp:tok:uses,hyp:tok:backpack,pre:tok:vehicles,hyp:tok:cafeteria
30,pre:tok:sunset,hyp:tok:left,pre:tok:practicing,hyp:tok:couple
31,pre:tok:picking,pre:tok:excited,hyp:tok:shirt,pre:tok:poker
32,hyp:tok:sound,hyp:tok:guitar,pre:tok:beach,hyp:tok:desk
33,pre:tok:singer,pre:tok:winter,hyp:tok:train,hyp:tok:vegetable
34,hyp:tok:sings,pre:tok:flags,pre:tok:barn,pre:tok:television
35,pre:tok:gesturing,pre:tok:three,pre:tok:looking,hyp:tok:has
36,hyp:tok:television,pre:tok:holding,pre:tok:hiding,pre:tok:park
37,hyp:tok:older,pre:tok:sits,hyp:tok:trying,pre:tok:boy
38,pre:tok:heading,hyp:tok:desert,hyp:tok:riding,hyp:tok:people
39,pre:tok:rescue,hyp:tok:though,hyp:tok:crossing,hyp:tok:steps
40,pre:tok:as,pre:tok:wizard,hyp:tok:pipes,hyp:tok:dogs
41,pre:tok:hairnet,hyp:tok:lead,hyp:tok:chinese,hyp:tok:international
42,pre:tok:suit,hyp:tok:only,hyp:tok:cars,pre:tok:walking
43,pre:tok:church,hyp:tok:ocean,hyp:tok:trunks,hyp:tok:inflatable
44,hyp:tok:guitarist,hyp:tok:boards,pre:tok:learning,hyp:tok:shoveling
45,hyp:tok:bowling,hyp:tok:turns,hyp:tok:nothing,pre:tok:front
46,hyp:tok:puzzle,hyp:tok:brother,pre:tok:tunnel,pre:tok:wizard
47,pre:tok:jumped,pre:tok:lost,hyp:tok:pots,hyp:tok:surfboard
48,pre:tok:race,hyp:tok:crane,hyp:tok:summer,pre:tok:while
49,hyp:tok:chair,pre:tok:wheeler,hyp:tok:street,hyp:tok:nine
50,pre:tok:telling,pre:tok:shadow,hyp:tok:denim,hyp:tok:laying
51,hyp:tok:low,hyp:tok:multiple,hyp:tok:bus,hyp:tok:rides
52,hyp:tok:tiles,hyp:tok:pizza,hyp:tok:mask,
53,hyp:tok:sister,hyp:tok:camouflage,hyp:tok:chatting,
54,pre:tok:waves,hyp:tok:sandwiches,hyp:tok:drives,
55,hyp:tok:wares,pre:tok:fly,pre:tok:platform,
56,pre:tok:three,pre:tok:shark,hyp:tok:orchestra,
57,pre:tok:button,pre:tok:learning,pre:tok:hit,
58,pre:tok:near,pre:tok:blond,hyp:tok:feet,
59,pre:tok:i,hyp:tok:watched,hyp:tok:brown,
60,hyp:tok:about,pre:tok:ground,pre:tok:clock,
61,hyp:tok:mid,pre:tok:thinking,hyp:tok:bath,
62,hyp:tok:smiling,hyp:tok:curly,,
63,hyp:tok:suit,hyp:tok:instrument,,
64,hyp:tok:waiting,hyp:tok:hallway,,
65,hyp:tok:new,pre:tok:red,,
66,hyp:tok:wild,pre:tok:shade,,
67,pre:tok:got,hyp:tok:dinner,,
68,pre:tok:dogs,pre:tok:form,,
69,pre:tok:chat,hyp:tok:blouse,,
70,hyp:tok:girlfriend,hyp:tok:coffee,,
71,hyp:tok:bar,pre:tok:creating,,
72,pre:tok:handling,hyp:tok:face,,
73,hyp:tok:barely,hyp:tok:blonde,,
74,hyp:tok:mouths,hyp:tok:duck,,
75,hyp:tok:laundromat,hyp:tok:plays,,
76,hyp:tok:countryside,hyp:tok:sleeps,,
77,pre:tok:down,pre:tok:belt,,
78,pre:tok:stand,hyp:tok:packages,,
79,hyp:tok:handing,pre:tok:walks,,
80,hyp:tok:dry,hyp:tok:funny,,
81,hyp:tok:spring,pre:tok:playing,,
82,pre:tok:railing,pre:tok:closed,,
83,hyp:tok:cafeteria,hyp:tok:tricks,,
84,hyp:tok:pizza,hyp:tok:owner,,
85,pre:tok:doctors,pre:tok:river,,
86,hyp:tok:desk,hyp:tok:cafe,,
87,pre:tok:television,,,
88,pre:tok:placing,,,
89,hyp:tok:hydrant,,,
90,pre:tok:climbs,,,
91,pre:tok:up,,,
92,hyp:tok:subway,,,
93,hyp:tok:staircase,,,
94,hyp:tok:skate,,,
95,hyp:tok:chewing,,,
96,hyp:tok:desks,,,
97,hyp:tok:black,,,
98,pre:tok:one,,,
99,pre:tok:working,,,
100,hyp:tok:suspended,,,
101,pre:tok:skateboarder,,,
102,hyp:tok:various,,,
103,hyp:tok:discussing,,,
104,hyp:tok:blouse,,,
105,hyp:tok:room,,,
106,pre:tok:ceremony,,,
107,pre:tok:boards,,,
108,pre:tok:bike,,,
109,pre:tok:mirror,,,
110,hyp:tok:building,,,
111,hyp:tok:fell,,,
112,hyp:tok:sandwich,,,
113,hyp:tok:rowboat,,,
114,hyp:tok:chicken,,,
115,pre:tok:headscarf,,,
116,pre:tok:behind,,,
117,hyp:tok:snowy,,,
118,hyp:tok:beard,,,
119,hyp:tok:wheeled,,,
120,pre:tok:four,,,
121,hyp:tok:yellow,,,
122,hyp:tok:drums,,,
123,hyp:tok:through,,,
124,pre:tok:fun,,,
125,pre:tok:talks,,,
126,pre:tok:out,,,
127,pre:tok:produce,,,
128,hyp:tok:microphone,,,
129,pre:tok:whose,,,
130,hyp:tok:cows,,,
131,hyp:tok:ground,,,
