,Cluster1,Cluster2,Cluster3,Cluster4
0,((((hyp:tok:rope OR pre:tok:uniformed) AND hyp:tok:are) OR hyp:tok:sandwiches) OR hyp:tok:finishing),(NOT pre:tok:by),(NOT pre:tok:by),(hyp:tok:than OR pre:tok:males)
1,(((hyp:tok:naked AND pre:tok:people) OR hyp:tok:hooded) OR hyp:tok:rowboat),(((hyp:tok:for OR hyp:tok:to) OR hyp:tok:his) OR hyp:tok:at),(((hyp:tok:shirt AND pre:tok:skates) OR hyp:tok:pipes) AND hyp:tok:red),((((NOT oth:overlap:overlap50) AND hyp:tok:inside) AND (NOT hyp:tok:people)) OR pre:tok:television)
2,((hyp:tok:is OR hyp:tok:people) OR hyp:tok:woman),(((hyp:tok:for OR hyp:tok:to) OR hyp:tok:and) AND (NOT pre:tok:blue)),(hyp:tok:alone OR hyp:tok:eating),((NOT pre:tok:to) AND (hyp:tok:outside OR hyp:tok:people))
3,(hyp:tok:least OR pre:tok:put),((hyp:tok:into AND pre:tok:goggles) OR pre:tok:skiing),((((hyp:tok:beige OR pre:tok:injured) OR hyp:tok:brushing) OR hyp:tok:name) OR hyp:tok:sound),((((hyp:tok:inside AND pre:tok:event) OR pre:tok:tips) OR hyp:tok:hang) AND (NOT pre:tok:wearing))
4,(((hyp:tok:tall AND pre:tok:two) OR pre:tok:i) OR pre:tok:walked),(hyp:tok:for OR hyp:tok:her),(NOT pre:tok:car),((((hyp:tok:some OR oth:overlap:overlap50) OR hyp:tok:something) OR hyp:tok:has) OR hyp:tok:near)
5,(hyp:tok:jet OR pre:tok:laughing),(((hyp:tok:and AND oth:overlap:overlap75) OR hyp:tok:sad) OR hyp:tok:appears),((((hyp:tok:standing AND pre:tok:sitting) AND pre:tok:on) AND hyp:tok:is) AND (NOT pre:tok:shirt)),((((hyp:tok:people AND hyp:tok:sitting) OR hyp:tok:chair) AND (NOT oth:overlap:overlap50)) OR pre:tok:liquid)
6,(hyp:tok:home AND pre:tok:seat),(((hyp:tok:least AND pre:tok:on) OR hyp:tok:wheeled) OR pre:tok:pick),((((hyp:tok:people AND hyp:tok:sitting) OR pre:tok:soap) AND (NOT pre:tok:two)) OR hyp:tok:tops),(hyp:tok:women AND pre:tok:men)
7,(hyp:tok:skater AND hyp:tok:sleeping),((hyp:tok:activity AND pre:tok:with) OR hyp:tok:image),((((NOT hyp:tok:around) AND (hyp:tok:running AND pre:tok:men)) OR hyp:tok:begins) AND (NOT pre:tok:shirt)),((hyp:tok:bottles OR pre:tok:poker) AND hyp:tok:is)
8,((((pre:tok:cherry OR pre:tok:picking) OR pre:tok:angry) OR hyp:tok:bottom) OR hyp:tok:cameras),(((hyp:tok:inside AND pre:tok:sitting) AND pre:tok:in) OR pre:tok:hug),(hyp:tok:ladies OR pre:tok:lost),(hyp:tok:lane OR hyp:tok:soccer)
9,((hyp:tok:swimming OR hyp:tok:tv) OR hyp:tok:blanket),(NOT pre:tok:car),(hyp:tok:picnic OR hyp:tok:summer),(hyp:tok:bright AND pre:tok:his)
10,(((hyp:tok:are AND pre:tok:tent) OR hyp:tok:number) OR hyp:tok:scarves),(hyp:tok:at AND pre:tok:meet),(hyp:tok:home AND pre:tok:clouds),((hyp:tok:costume AND pre:tok:wizard) OR hyp:tok:year)
11,(((((NOT pre:tok:men) AND oth:overlap:overlap75) OR hyp:tok:nobody) OR pre:tok:glass) OR pre:tok:rest),((((hyp:tok:and AND oth:overlap:overlap75) OR hyp:tok:sad) OR hyp:tok:appears) OR hyp:tok:subway),(hyp:tok:haired AND pre:tok:blue),((NOT hyp:tok:for) AND (hyp:tok:people OR oth:overlap:overlap75))
12,((hyp:tok:jet OR hyp:tok:tea) OR pre:tok:fun),((NOT hyp:tok:are) AND oth:overlap:overlap75),(hyp:tok:sitting AND pre:tok:staring),(hyp:tok:at AND pre:tok:preschool)
13,(hyp:tok:jumping AND pre:tok:into),((hyp:tok:couch AND oth:overlap:overlap75) OR hyp:tok:guitars),((pre:tok:groom OR pre:tok:surf) OR hyp:tok:5),((NOT pre:tok:in) AND hyp:tok:fighting)
14,(hyp:tok:pushing OR pre:tok:raises),((NOT pre:tok:standing) AND hyp:tok:snowman),(hyp:tok:tired AND pre:tok:pipe),(((hyp:tok:to AND hyp:tok:walking) OR hyp:tok:coach) OR hyp:tok:played)
15,((hyp:tok:identical OR hyp:tok:mouths) AND hyp:tok:two),(((hyp:tok:driving OR hyp:tok:playing) OR hyp:tok:alone) OR hyp:tok:running),(((hyp:tok:activity OR hyp:tok:picture) AND hyp:tok:in) OR hyp:tok:than),((((hyp:tok:blue AND pre:tok:red) AND pre:tok:shirt) OR pre:tok:auditorium) AND (NOT pre:tok:wall))
